filename,filepath,label
220307.wav,data/backapp_full_audios/1/220307.wav,1
343887.wav,data/backapp_full_audios/1/343887.wav,1
343930.wav,data/backapp_full_audios/1/343930.wav,1
221151.wav,data/backapp_full_audios/1/221151.wav,1
82420.wav,data/backapp_full_audios/1/82420.wav,1
44261.wav,data/backapp_full_audios/1/44261.wav,1
30279.wav,data/backapp_full_audios/1/30279.wav,1
272093.wav,data/backapp_full_audios/1/272093.wav,1
367307.wav,data/backapp_full_audios/1/367307.wav,1
219815.wav,data/backapp_full_audios/1/219815.wav,1
113364.wav,data/backapp_full_audios/1/113364.wav,1
344051.wav,data/backapp_full_audios/1/344051.wav,1
136480.wav,data/backapp_full_audios/1/136480.wav,1
420015.wav,data/backapp_full_audios/1/420015.wav,1
221150.wav,data/backapp_full_audios/1/221150.wav,1
353288.wav,data/backapp_full_audios/1/353288.wav,1
321971.wav,data/backapp_full_audios/1/321971.wav,1
343879.wav,data/backapp_full_audios/1/343879.wav,1
328000.wav,data/backapp_full_audios/1/328000.wav,1
220312.wav,data/backapp_full_audios/1/220312.wav,1
220306.wav,data/backapp_full_audios/1/220306.wav,1
208893.wav,data/backapp_full_audios/1/208893.wav,1
9431.wav,data/backapp_full_audios/1/9431.wav,1
9433.wav,data/backapp_full_audios/1/9433.wav,1
220660.wav,data/backapp_full_audios/1/220660.wav,1
321230.wav,data/backapp_full_audios/1/321230.wav,1
353103.wav,data/backapp_full_audios/1/353103.wav,1
256494.wav,data/backapp_full_audios/1/256494.wav,1
169810.wav,data/backapp_full_audios/1/169810.wav,1
221152.wav,data/backapp_full_audios/1/221152.wav,1
420017.wav,data/backapp_full_audios/1/420017.wav,1
132828.wav,data/backapp_full_audios/1/132828.wav,1
344047.wav,data/backapp_full_audios/1/344047.wav,1
165596.wav,data/backapp_full_audios/1/165596.wav,1
63637.wav,data/backapp_full_audios/1/63637.wav,1
246309.wav,data/backapp_full_audios/1/246309.wav,1
241472.wav,data/backapp_full_audios/1/241472.wav,1
370136.wav,data/backapp_full_audios/1/370136.wav,1
351339.wav,data/backapp_full_audios/1/351339.wav,1
221153.wav,data/backapp_full_audios/1/221153.wav,1
270446.wav,data/backapp_full_audios/1/270446.wav,1
169811.wav,data/backapp_full_audios/1/169811.wav,1
316648.wav,data/backapp_full_audios/1/316648.wav,1
343891.wav,data/backapp_full_audios/1/343891.wav,1
328003.wav,data/backapp_full_audios/1/328003.wav,1
154428.wav,data/backapp_full_audios/1/154428.wav,1
220311.wav,data/backapp_full_audios/1/220311.wav,1
556976.wav,data/backapp_full_audios/1/556976.wav,1
104035.wav,data/backapp_full_audios/1/104035.wav,1
220649.wav,data/backapp_full_audios/1/220649.wav,1
180309.wav,data/backapp_full_audios/1/180309.wav,1
9432.wav,data/backapp_full_audios/1/9432.wav,1
104031.wav,data/backapp_full_audios/1/104031.wav,1
220665.wav,data/backapp_full_audios/1/220665.wav,1
210995.wav,data/backapp_full_audios/1/210995.wav,1
167227.wav,data/backapp_full_audios/1/167227.wav,1
178313.wav,data/backapp_full_audios/1/178313.wav,1
241884.wav,data/backapp_full_audios/1/241884.wav,1
344056.wav,data/backapp_full_audios/1/344056.wav,1
222648.wav,data/backapp_full_audios/1/222648.wav,1
222674.wav,data/backapp_full_audios/1/222674.wav,1
242194.wav,data/backapp_full_audios/1/242194.wav,1
127004.wav,data/backapp_full_audios/1/127004.wav,1
63632.wav,data/backapp_full_audios/1/63632.wav,1
222649.wav,data/backapp_full_audios/1/222649.wav,1
239902.wav,data/backapp_full_audios/1/239902.wav,1
433735.wav,data/backapp_full_audios/1/433735.wav,1
467364.wav,data/backapp_full_audios/1/467364.wav,1
196156.wav,data/backapp_full_audios/1/196156.wav,1
175385.wav,data/backapp_full_audios/1/175385.wav,1
387829.wav,data/backapp_full_audios/1/387829.wav,1
271601.wav,data/backapp_full_audios/1/271601.wav,1
364797.wav,data/backapp_full_audios/1/364797.wav,1
25713.wav,data/backapp_full_audios/1/25713.wav,1
220658.wav,data/backapp_full_audios/1/220658.wav,1
104030.wav,data/backapp_full_audios/1/104030.wav,1
64940.wav,data/backapp_full_audios/1/64940.wav,1
104032.wav,data/backapp_full_audios/1/104032.wav,1
89362.wav,data/backapp_full_audios/1/89362.wav,1
9435.wav,data/backapp_full_audios/1/9435.wav,1
241515.wav,data/backapp_full_audios/1/241515.wav,1
220302.wav,data/backapp_full_audios/1/220302.wav,1
382990.wav,data/backapp_full_audios/1/382990.wav,1
220289.wav,data/backapp_full_audios/1/220289.wav,1
449702.wav,data/backapp_full_audios/1/449702.wav,1
61219.wav,data/backapp_full_audios/1/61219.wav,1
232458.wav,data/backapp_full_audios/1/232458.wav,1
502924.wav,data/backapp_full_audios/1/502924.wav,1
67324.wav,data/backapp_full_audios/1/67324.wav,1
250550.wav,data/backapp_full_audios/1/250550.wav,1
90790.wav,data/backapp_full_audios/1/90790.wav,1
82418.wav,data/backapp_full_audios/1/82418.wav,1
220049.wav,data/backapp_full_audios/1/220049.wav,1
343897.wav,data/backapp_full_audios/1/343897.wav,1
382991.wav,data/backapp_full_audios/1/382991.wav,1
271602.wav,data/backapp_full_audios/1/271602.wav,1
338955.wav,data/backapp_full_audios/1/338955.wav,1
319019.wav,data/backapp_full_audios/1/319019.wav,1
9434.wav,data/backapp_full_audios/1/9434.wav,1
104033.wav,data/backapp_full_audios/1/104033.wav,1
219724.wav,data/backapp_full_audios/1/219724.wav,1
178410.wav,data/backapp_full_audios/1/178410.wav,1
261853.wav,data/backapp_full_audios/1/261853.wav,1
340889.wav,data/backapp_full_audios/1/340889.wav,1
395736.wav,data/backapp_full_audios/1/395736.wav,1
34281.wav,data/backapp_full_audios/1/34281.wav,1
323080.wav,data/backapp_full_audios/1/323080.wav,1
219693.wav,data/backapp_full_audios/1/219693.wav,1
118521.wav,data/backapp_full_audios/1/118521.wav,1
110141.wav,data/backapp_full_audios/1/110141.wav,1
219650.wav,data/backapp_full_audios/1/219650.wav,1
256635.wav,data/backapp_full_audios/1/256635.wav,1
351628.wav,data/backapp_full_audios/1/351628.wav,1
145801.wav,data/backapp_full_audios/1/145801.wav,1
253771.wav,data/backapp_full_audios/1/253771.wav,1
110140.wav,data/backapp_full_audios/1/110140.wav,1
381805.wav,data/backapp_full_audios/1/381805.wav,1
219453.wav,data/backapp_full_audios/1/219453.wav,1
343952.wav,data/backapp_full_audios/1/343952.wav,1
99499.wav,data/backapp_full_audios/1/99499.wav,1
203594.wav,data/backapp_full_audios/1/203594.wav,1
396799.wav,data/backapp_full_audios/1/396799.wav,1
220365.wav,data/backapp_full_audios/1/220365.wav,1
235595.wav,data/backapp_full_audios/1/235595.wav,1
180341.wav,data/backapp_full_audios/1/180341.wav,1
