filepath,labels
64760.wav,0
16399.wav,0
16401.wav,0
16402.wav,0
16404.wav,0
345111.wav,0
64761.wav,0
268259.wav,0
64762.wav,0
160826.wav,0
40515.wav,0
40516.wav,0
40517.wav,0
420945.wav,0
420946.wav,0
420947.wav,0
86100.wav,0
64741.wav,0
40523.wav,0
64743.wav,0
64744.wav,0
40525.wav,0
51319.wav,0
64746.wav,0
5318.wav,0
4258.wav,0
4259.wav,0
4260.wav,0
4261.wav,0
4262.wav,0
4263.wav,0
4264.wav,0
4265.wav,0
4266.wav,0
4267.wav,0
4268.wav,0
4269.wav,0
4270.wav,0
4272.wav,0
64757.wav,0
4276.wav,0
4277.wav,0
4278.wav,0
4279.wav,0
4280.wav,0
4281.wav,0
4283.wav,0
4284.wav,0
4285.wav,0
4286.wav,0
4287.wav,0
4288.wav,0
4289.wav,0
5314.wav,0
4290.wav,0
4291.wav,0
5310.wav,0
64703.wav,0
5312.wav,0
64704.wav,0
64706.wav,0
64707.wav,0
64708.wav,0
5315.wav,0
5317.wav,0
64711.wav,0
64712.wav,0
64714.wav,0
64715.wav,0
64717.wav,0
64718.wav,0
64720.wav,0
64721.wav,0
64722.wav,0
64723.wav,0
64724.wav,0
64725.wav,0
64726.wav,0
64727.wav,0
64728.wav,0
64729.wav,0
64730.wav,0
64731.wav,0
64732.wav,0
64733.wav,0
64734.wav,0
64736.wav,0
64737.wav,0
64738.wav,0
5350.wav,0
5351.wav,0
193768.wav,0
64739.wav,0
64740.wav,0
64747.wav,0
266476.wav,0
5357.wav,0
64750.wav,0
64742.wav,0
5360.wav,0
64753.wav,0
64745.wav,0
64755.wav,0
5355.wav,0
64748.wav,0
64749.wav,0
64751.wav,0
64752.wav,0
64754.wav,0
5370.wav,0
5364.wav,0
64764.wav,0
5365.wav,0
64758.wav,0
64767.wav,0
64768.wav,0
64769.wav,0
5369.wav,0
64763.wav,0
64766.wav,0
5376.wav,0
64765.wav,0
64775.wav,0
64770.wav,0
5379.wav,0
64771.wav,0
64772.wav,0
64774.wav,0
64773.wav,0
64776.wav,0
64777.wav,0
232713.wav,0
64779.wav,0
232715.wav,0
64781.wav,0
232717.wav,0
232720.wav,0
64787.wav,0
64788.wav,0
64789.wav,0
64790.wav,0
64791.wav,0
64778.wav,0
232723.wav,0
64794.wav,0
64792.wav,0
378143.wav,0
378144.wav,0
64780.wav,0
5354.wav,0
5356.wav,0
97616.wav,0
201043.wav,0
5359.wav,0
97622.wav,0
97623.wav,0
97624.wav,0
97625.wav,0
97626.wav,0
97627.wav,0
97629.wav,0
97630.wav,0
97631.wav,0
97632.wav,0
97633.wav,0
97634.wav,0
97635.wav,0
97636.wav,0
97637.wav,0
97638.wav,0
97639.wav,0
97641.wav,0
97642.wav,0
97643.wav,0
97644.wav,0
97645.wav,0
97646.wav,0
97647.wav,0
97648.wav,0
97649.wav,0
97650.wav,0
97651.wav,0
97652.wav,0
97653.wav,0
5366.wav,0
97654.wav,0
97655.wav,0
97656.wav,0
97657.wav,0
36237.wav,0
201110.wav,0
63899.wav,0
63901.wav,0
63902.wav,0
63904.wav,0
63906.wav,0
130468.wav,0
63909.wav,0
232716.wav,0
324052.wav,0
324053.wav,0
40404.wav,0
324055.wav,0
40405.wav,0
324057.wav,0
324058.wav,0
324059.wav,0
